,Hastag,timestamp,positive,negative,medium
281,qatar2022,2022-11-15,0.0944277221428571,0.1448905757142857,0.76068172
282,tehran,2022-11-15,0.07272826,0.16607903,0.76119274
283,freeiran,2022-11-15,0.07272826,0.16607903,0.76119274
284,mahsaamini,2022-11-15,0.07272826,0.16607903,0.76119274
285,fifaworldcup2022,2022-11-15,0.07272826,0.16607903,0.76119274
286,fifaworldcup,2022-11-15,0.07272826,0.16607903,0.76119274
287,freedom,2022-11-15,0.07272826,0.16607903,0.76119274
288,mahsa_amini,2022-11-15,0.07272826,0.16607903,0.76119274
289,giveaway,2022-11-15,0.16570692,0.02793834,0.80635476
290,iran,2022-11-15,0.07272826,0.16607903,0.76119274
291,irgc,2022-11-15,0.07272826,0.16607903,0.76119274
292,r2pforiran,2022-11-15,0.07272826,0.16607903,0.76119274
293,womenlifefreedom,2022-11-15,0.07272826,0.16607903,0.76119274
294,worldcup,2022-11-15,0.07272826,0.16607903,0.76119274
295,iranprotests,2022-11-15,0.07272826,0.16607903,0.76119274
296,iranrevolution,2022-11-15,0.07272826,0.16607903,0.76119274
297,iranprotests2022,2022-11-15,0.07272826,0.16607903,0.76119274
298,worldcup2022,2022-11-15,0.07272826,0.16607903,0.76119274
299,opiran,2022-11-15,0.07272826,0.16607903,0.76119274
300,iranrevolution2022,2022-11-15,0.07272826,0.16607903,0.76119274
301,wc2022,2022-11-15,0.07272826,0.16607903,0.76119274
302,mahsa_amini,2022-11-16,0.07272826,0.16607903,0.76119274
303,wc2022,2022-11-16,0.07272826,0.16607903,0.76119274
304,womenlifefreedom,2022-11-16,0.07272826,0.16607903,0.76119274
305,r2pforiran,2022-11-16,0.07272826,0.16607903,0.76119274
306,iranrevolution,2022-11-16,0.07272826,0.16607903,0.76119274
307,iranprotests,2022-11-16,0.0704564964705882,0.1826156823529411,0.7469278494117647
308,tehran,2022-11-16,0.07272826,0.16607903,0.76119274
309,opiran,2022-11-16,0.07272826,0.16607903,0.76119274
310,iranprotests2022,2022-11-16,0.0704564964705882,0.1826156823529411,0.7469278494117647
311,fifaworldcup,2022-11-16,0.07272826,0.16607903,0.76119274
312,qatar2022,2022-11-16,0.340249914,0.093699951069,0.566050178175
313,worldcup,2022-11-16,0.07272826,0.16607903,0.76119274
314,fifaworldcup2022,2022-11-16,0.07272826,0.16607903,0.76119274
315,irgc,2022-11-16,0.07272826,0.16607903,0.76119274
316,freedom,2022-11-16,0.07272826,0.16607903,0.76119274
317,freeiran,2022-11-16,0.07272826,0.16607903,0.76119274
318,iran,2022-11-16,0.07272826,0.16607903,0.76119274
319,mahsaamini,2022-11-16,0.0704564964705882,0.1826156823529411,0.7469278494117647
320,worldcup2022,2022-11-16,0.07272826,0.16607903,0.76119274
321,iranrevolution2022,2022-11-16,0.07272826,0.16607903,0.76119274
322,mehransamak,2022-11-17,0.00771094,0.75984675,0.23244223
323,worldcup,2022-11-17,0.07272826,0.16607903,0.76119274
324,fifaworldcup,2022-11-17,0.07150770625,0.16000695625,0.7684853687500001
325,iranprotests2022,2022-11-17,0.07272826,0.16607903,0.76119274
326,worldcup2022,2022-11-17,0.07272826,0.16607903,0.76119274
327,freedom,2022-11-17,0.07272826,0.16607903,0.76119274
328,irgc,2022-11-17,0.07272826,0.16607903,0.76119274
329,opiran,2022-11-17,0.07272826,0.16607903,0.76119274
330,saytheirnames,2022-11-17,0.00771094,0.75984675,0.23244223
331,r2pforiran,2022-11-17,0.07272826,0.16607903,0.76119274
332,iranrevolution2022,2022-11-17,0.07272826,0.16607903,0.76119274
333,freeiran,2022-11-17,0.07272826,0.16607903,0.76119274
